VFcategory,SoS091a_CP04272_S249_L001,SoS055a_CP04272_S217_L001,UG006_CP04272_S262_L001,SoS042a_CP04272_S215_L001,SoS036a_CP04272_S211_L001,X9B1L_CP04272_S278_L001,SoS024a_CP04272_S197_L001,SoS070a_CP04272_S227_L001,SoS078b_CP04272_S236_L001,SoS017a_CP04272_S191_L001,SoS098b_CP04272_S252_L001,P060_CP04272_S338_L001,P006_CP04272_S287_L001,SoS002a_CP04272_S177_L001,P012_CP04272_S291_L001,P031_CP04272_S310_L001,SoS081a_CP04272_S241_L001,P043_CP04272_S322_L001,SoS008a_CP04272_S185_L001,P026_CP04272_S305_L001,UG004_CP04272_S260_L001,SoS025a_CP04272_S199_L001,SoS098a_CP04272_S251_L001,SoS079b_CP04272_S238_L001,SoS017b_CP04272_S192_L001,SoS008b_CP04272_S186_L001,SoS081b_CP04272_S242_L001,SoS014a_CP04272_S189_L001,P009_CP04272_S288_L001,SoS042b_CP04272_S216_L001,SoS065b_CP04272_S224_L001,UG005_CP04272_S261_L001,SoS035a_CP04272_S209_L001,P004_CP04272_S285_L001,P018_CP04272_S297_L001,UG001_CP04272_S257_L001,SoS006b_CP04272_S184_L001,X2B1L_CP04272_S276_L001,SoS078a_CP04272_S235_L001,SoS006a_CP04272_S183_L001,P041_CP04272_S320_L001,SoS065a_CP04272_S223_L001,P024_CP04272_S303_L001,P033_CP04272_S312_L001,SoS036b_CP04272_S212_L001,P055_CP04272_S333_L001,P010_CP04272_S289_L001,P001_CP04272_S282_L001,P019_CP04272_S298_L001,SoS018a_CP04272_S193_L001,SoS091b_CP04272_S250_L001,SoS018b_CP04272_S194_L001,P015_CP04272_S294_L001,P036_CP04272_S315_L001,SoS005b_CP04272_S182_L001,P056_CP04272_S334_L001,P051_CP04272_S330_L001,SoS082b_CP04272_S244_L001,SoS039b_CP04272_S214_L001,P023_CP04272_S302_L001,P034_CP04272_S313_L001,SoS077a_CP04272_S233_L001,SoS011b_CP04272_S188_L001,SoS033a_CP04272_S207_L001,P003_CP04272_S284_L001,SoS077b_CP04272_S234_L001,P057_CP04272_S335_L001,SoS082a_CP04272_S243_L001,SoS075a_CP04272_S231_L001,SoS039a_CP04272_S213_L001,UG009_CP04272_S263_L001,SoS031b_CP04272_S206_L001,SoS014b_CP04272_S190_L001,SoS075b_CP04272_S232_L001,P046_CP04272_S325_L001,P017_CP04272_S296_L001,P021_CP04272_S300_L001,SoS004a_CP04272_S179_L001,X16B1NL_CP04272_S343_L001,P044_CP04272_S323_L001,P053_CP04272_S332_L001,SoS005a_CP04272_S181_L001,SoS087b_CP04272_S248_L001,X9B1NL_CP04272_S279_L001,SoS035b_CP04272_S210_L001,SoS025b_CP04272_S200_L001,P029_CP04272_S308_L001,P059_CP04272_S337_L001,P025_CP04272_S304_L001,SoS027b_CP04272_S202_L001,SoS085b_CP04272_S246_L001,SoS069a_CP04272_S225_L001,P040_CP04272_S319_L001,UG010_CP04272_S264_L001,P042_CP04272_S321_L001,P013_CP04272_S292_L001,SoS004b_CP04272_S180_L001,P058_CP04272_S336_L001,SoS011a_CP04272_S187_L001,SoS063b_CP04272_S222_L001,P038_CP04272_S317_L001,P050_CP04272_S329_L001,SoS063a_CP04272_S221_L001,P027_CP04272_S306_L001,P011_CP04272_S290_L001,P032_CP04272_S311_L001,SoS087a_CP04272_S247_L001,SoS073a_CP04272_S229_L001,P020_CP04272_S299_L001,SoS069b_CP04272_S226_L001,X17B1NL_CP04272_S273_L001,SoS085a_CP04272_S245_L001,P005_CP04272_S286_L001,P048_CP04272_S327_L001,P045_CP04272_S324_L001,SoS080a_CP04272_S239_L001,SoS024b_CP04272_S198_L001,P037_CP04272_S316_L001,SoS070b_CP04272_S228_L001,P049_CP04272_S328_L001,SoS055b_CP04272_S218_L001,SoS060a_CP04272_S219_L001,SoS002b_CP04272_S178_L001,SoS023a_CP04272_S195_L001,SoS100a_CP04272_S255_L001,P022_CP04272_S301_L001,SoS060b_CP04272_S220_L001,P016_CP04272_S295_L001,P035_CP04272_S314_L001,SoS023b_CP04272_S196_L001,P047_CP04272_S326_L001,X17B1L_CP04272_S344_L001,P002_CP04272_S283_L001,UG003_CP04272_S259_L001,SoS100b_CP04272_S256_L001,P039_CP04272_S318_L001,SoS079a_CP04272_S237_L001,P030_CP04272_S309_L001,X2B1NL_CP04272_S277_L001,P028_CP04272_S307_L001,SoS099a_CP04272_S253_L001,SoS099b_CP04272_S254_L001,P052_CP04272_S331_L001,SoS080b_CP04272_S240_L001,UG002_CP04272_S258_L001,SoS073b_CP04272_S230_L001,P014_CP04272_S293_L001
Adherence,0.133762847,0.10300339,0.118519726,0.106416078,0.112387665,0.121070193,0.099961654,0.110371341,0.103572365,0.12185678,0.099619153,0.133396774,0.161597088,0.102955964,0.105991613,0.143768769,0.113510167,0.104694256,0.1010756,0.120685301,0.113377456,0.108477585,0.09045659,0.112501029,0.099635882,0.105709934,0.106323456,0.146964804,0.130391572,0.109640649,0.102731078,0.099231705,0.124832086,0.116519174,0.105416959,0.114172362,0.098536259,0.113321714,0.104161424,0.103845076,0.124318595,0.109822448,0.108721105,0.148914379,0.115164378,0.16481775,0.117189269,0.107371068,0.12221515,0.109312785,0.129137635,0.107708695,0.10252848,0.120630157,0.111382711,0.120191881,0.107438017,0.111771124,0.104630811,0.146252839,0.137340497,0.111676267,0.104368397,0.10709424,0.109426454,0.111422093,0.177570093,0.10435522,0.114086514,0.097903796,0.100734492,0.104350424,0.125996242,0.121357238,0.10256825,0.107122467,0.107383242,0.111702087,0.127922389,0.114597636,0.124396968,0.114859636,0.098372911,0.117506874,0.111763972,0.111222394,0.103018938,0.120734908,0.133765833,0.116729216,0.132734983,0.105064323,0.108967476,0.09886699,0.104631416,0.18008636,0.100711748,0.122858438,0.108568912,0.100385874,0.115184758,0.114671035,0.105595743,0.13744261,0.120266334,0.115705306,0.106171144,0.100794992,0.108380248,0.111493186,0.128095009,0.114444584,0.161874212,0.120264042,0.129375951,0.111334691,0.092536408,0.133027189,0.094288921,0.119923249,0.108833176,0.115742804,0.099335406,0.103659417,0.099693387,0.107760863,0.101531574,0.110531642,0.16388958,0.109194407,0.122467357,0.122831022,0.129785605,0.113190409,0.09965312,0.162837163,0.113686112,0.122101146,0.115321914,0.113016301,0.114532354,0.115854659,0.140946835,0.109539431,0.111151236,0.10381364,0.106737989
Antimicrobial activity/Competitive advantage,0.009433962,0.003390441,0.003539988,0.002715705,0.011524229,0.015294386,0.003757957,0.002848902,0.003282873,0.006444054,0.016311768,0.0067589,0.023956319,0.003170148,0.004536372,0.028903904,0.002166654,0.004817789,0.003367263,0.001955487,0.004814072,0.006728806,0.003524283,0.002392624,0.010346181,0.006452931,0.002770997,0.002422225,0.009938382,0.002295163,0.00325603,0.004668954,0.020725389,0.013274336,0.005273146,0.003376009,0.003393069,0.002649889,0.00377697,0.003182083,0.011962447,0.002905753,0.004996154,0.022019664,0.008829536,0.012678288,0.002927673,0.003216169,0.030553787,0.004692928,0.006269001,0.006553201,0.029174771,0.002607518,0.004227864,0.003323989,0.026446281,0.003636804,0.003447821,0.001816805,0.018356839,0.002040804,0.002281836,0.0036375,0.00192022,0.002130204,0.021028037,0.003794283,0.007626785,0.003745389,0.005496396,0.004506664,0.006609214,0.011827261,0.002954582,0.002892874,0.004601648,0.003733968,0.020869442,0.002771661,0.012060648,0.006068388,0.00355321,0.010065828,0.004344423,0.003359346,0.004626783,0.006707495,0.010503553,0.003111135,0.013568752,0.002162329,0.00541835,0.005198616,0.003975299,0.009652019,0.004895328,0.003514526,0.002184974,0.004015044,0.026270208,0.002483904,0.003761111,0.01263391,0.01539742,0.007226237,0.00493043,0.004002823,0.005616516,0.002172267,0.005675095,0.01102664,0.028067362,0.001778748,0.02130898,0.002993792,0.004220802,0.016910854,0.002632743,0.016309562,0.003139688,0.00264624,0.004169709,0.003537587,0.003225635,0.005111066,0.003085912,0.004903869,0.012932106,0.003330394,0.003859265,0.01107034,0.012710567,0.0044359,0.005322807,0.011988012,0.002860684,0.018440905,0.005664858,0.004606579,0.003266625,0.002860123,0.006973651,0.005765233,0.003451618,0.004195131,0.011090936
Biofilm,0.027841694,0.029433826,0.031021473,0.02763365,0.039154185,0.050691149,0.02793159,0.024565877,0.027317141,0.02901777,0.033150495,0.02767001,0.035126834,0.027241687,0.027535523,0.037162162,0.03461019,0.032427424,0.027130515,0.027369162,0.029539791,0.029205504,0.029247196,0.027502178,0.038220826,0.030789806,0.037154844,0.026595044,0.028423773,0.027728399,0.027665183,0.028200042,0.04060641,0.033923304,0.039991857,0.023102628,0.029725041,0.029290482,0.028894636,0.029752114,0.040127196,0.027607162,0.03378662,0.047419091,0.034357106,0.053882726,0.028107307,0.02825984,0.031190325,0.030052712,0.029872165,0.02963529,0.03584329,0.028707814,0.029553084,0.033463542,0.045454545,0.023669536,0.025885043,0.020439061,0.047011417,0.028240478,0.028505878,0.02880989,0.027395713,0.028129835,0.030373832,0.028375072,0.02672406,0.02833518,0.031011868,0.028708194,0.032560098,0.029261393,0.028013817,0.031352762,0.029601648,0.028650283,0.036570541,0.028051595,0.035148174,0.031010343,0.029863676,0.038269033,0.039060107,0.026798258,0.028083497,0.023622047,0.025332098,0.02629049,0.027072808,0.028333963,0.025290344,0.02918179,0.044403705,0.040894082,0.027369834,0.027793445,0.02723587,0.029082206,0.056293303,0.029323022,0.030069909,0.028882159,0.044111527,0.028121036,0.029458606,0.028772034,0.03175051,0.028627055,0.032407205,0.027488062,0.036659411,0.02619398,0.059360731,0.030649555,0.028465877,0.035425323,0.019796592,0.037416054,0.027369483,0.044192201,0.026982681,0.028084108,0.023944136,0.029319769,0.035235048,0.033003814,0.02685899,0.024186691,0.023477198,0.02882642,0.029709035,0.026941698,0.030097784,0.03996004,0.027541318,0.04414641,0.03061703,0.023777395,0.027100015,0.02542623,0.033484309,0.032001104,0.029722692,0.028630816,0.033125583
Effector delivery system,0.071176561,0.062808165,0.066328194,0.07732566,0.074431718,0.084906638,0.064314748,0.076208127,0.062901664,0.070270873,0.071235239,0.066808189,0.082629962,0.06485169,0.074648624,0.077327327,0.050198844,0.063125386,0.072097901,0.069731666,0.066927732,0.072774079,0.071434166,0.070309351,0.069698159,0.068578646,0.055648094,0.054063406,0.072748956,0.075525011,0.076760361,0.083197247,0.090596814,0.095870206,0.057741938,0.081436763,0.065577371,0.07540138,0.062032248,0.066047968,0.072834646,0.070985551,0.062670961,0.097910692,0.069204741,0.101426307,0.063511149,0.067209769,0.078930617,0.067185845,0.062859948,0.069964108,0.086968602,0.06390931,0.070467898,0.057703209,0.080991736,0.083707116,0.072448217,0.038203381,0.093687038,0.076021494,0.074558612,0.064336882,0.073524428,0.075341497,0.067757009,0.065606787,0.068907818,0.065212277,0.064472041,0.070382382,0.070692672,0.084188282,0.062355482,0.055002886,0.069711538,0.065881734,0.090034273,0.06334225,0.073397657,0.07572293,0.066846966,0.070516346,0.054963192,0.069171454,0.068756149,0.080198309,0.06085882,0.064708801,0.079489246,0.073638479,0.084454209,0.067556566,0.053936704,0.104394209,0.061450117,0.057217004,0.074185057,0.07053192,0.079965358,0.06294335,0.068345187,0.068900394,0.086558469,0.068257294,0.07386109,0.06354366,0.05614312,0.074141008,0.048227354,0.064055039,0.092335892,0.074176787,0.089802131,0.057299207,0.070950528,0.080909687,0.09306439,0.078030061,0.066157713,0.036281337,0.064193944,0.068315134,0.077787427,0.065537947,0.049817248,0.063750292,0.08281522,0.07546531,0.076477777,0.080197773,0.073583461,0.070268888,0.065862265,0.120879121,0.073879759,0.078234144,0.075787013,0.061963923,0.068893947,0.074979828,0.067507818,0.070514486,0.071685705,0.067476965,0.073023507
Exoenzyme,0.017717441,0.019827578,0.042945643,0.018524347,0.025832599,0.009470914,0.015476647,0.013693617,0.014370261,0.030892404,0.038084745,0.016055438,0.010249118,0.022185357,0.018025435,0.028153153,0.052196668,0.024397776,0.020357507,0.018904315,0.016691479,0.014877941,0.019379204,0.019114989,0.024741538,0.015844416,0.040940323,0.073391774,0.030013914,0.017940204,0.017886017,0.011475104,0.015256189,0.005899705,0.030397752,0.011936358,0.021192955,0.017358897,0.014022089,0.018956018,0.031950333,0.01619707,0.025301503,0.011163458,0.026508629,0.025356577,0.024043153,0.016583678,0.009548059,0.014137396,0.023829755,0.013388908,0.004167824,0.017518086,0.02188418,0.029680673,0.034710744,0.021548066,0.014398171,0.125712844,0.030893217,0.020582784,0.016969411,0.020419094,0.018507094,0.017641689,0.025700935,0.020493108,0.017660432,0.015167499,0.017246296,0.01743531,0.017284391,0.014358022,0.018479223,0.026833243,0.016037088,0.019087304,0.007340773,0.027742161,0.026878015,0.020087244,0.020914688,0.014459906,0.054940505,0.013792096,0.019429415,0.015164771,0.016991041,0.016483409,0.019020956,0.018059173,0.010928537,0.015273585,0.080355075,0.068580137,0.014586977,0.016953186,0.017507535,0.016177404,0.014722864,0.027303897,0.015272159,0.013187457,0.021639617,0.01234304,0.024976397,0.017274365,0.026883451,0.016783242,0.058766817,0.046494094,0.014090961,0.015945323,0.00761035,0.058820642,0.018150343,0.009840367,0.010993571,0.023025264,0.016801069,0.100923863,0.014797197,0.02231748,0.022543998,0.015926939,0.05232139,0.048727329,0.065406615,0.013116871,0.018202869,0.015454941,0.026875957,0.019048795,0.021066954,0.004995005,0.018889777,0.031852473,0.016964797,0.016417725,0.015271767,0.017633051,0.045382652,0.016183253,0.013935719,0.014448486,0.026255092
